n:108 mse_avg:18422.05 mse_y:24322.80 mse_u:5494.14 mse_v:7746.93 psnr_avg:17.54 psnr_y:16.34 psnr_u:22.80 psnr_v:21.31 
n:109 mse_avg:79.92 mse_y:80.78 mse_u:109.76 mse_v:46.62 psnr_avg:41.17 psnr_y:41.12 psnr_u:39.79 psnr_v:43.51 
n:110 mse_avg:21297.69 mse_y:27824.03 mse_u:5983.89 mse_v:10506.15 psnr_avg:16.91 psnr_y:15.75 psnr_u:22.43 psnr_v:19.98 
n:111 mse_avg:34811.40 mse_y:47662.40 mse_u:6443.66 mse_v:11775.14 psnr_avg:14.78 psnr_y:13.42 psnr_u:22.11 psnr_v:19.49 
n:112 mse_avg:23122.95 mse_y:32288.55 mse_u:5390.85 mse_v:4192.63 psnr_avg:16.56 psnr_y:15.11 psnr_u:22.88 psnr_v:23.97 
n:113 mse_avg:67.81 mse_y:65.70 mse_u:98.09 mse_v:45.95 psnr_avg:41.88 psnr_y:42.02 psnr_u:40.28 psnr_v:43.57 
n:114 mse_avg:18300.92 mse_y:25947.91 mse_u:1719.34 mse_v:4294.53 psnr_avg:17.57 psnr_y:16.06 psnr_u:27.84 psnr_v:23.87 
n:115 mse_avg:20865.70 mse_y:29809.61 mse_u:2056.24 mse_v:3899.50 psnr_avg:17.00 psnr_y:15.45 psnr_u:27.07 psnr_v:24.29 
n:116 mse_avg:27414.97 mse_y:38892.82 mse_u:2971.95 mse_v:5946.62 psnr_avg:15.82 psnr_y:14.30 psnr_u:25.47 psnr_v:22.45 
n:117 mse_avg:58.87 mse_y:58.39 mse_u:83.95 mse_v:35.71 psnr_avg:42.50 psnr_y:42.53 psnr_u:40.96 psnr_v:44.67 
n:118 mse_avg:26260.34 mse_y:37773.59 mse_u:1604.96 mse_v:4862.74 psnr_avg:16.00 psnr_y:14.43 psnr_u:28.14 psnr_v:23.33 
n:119 mse_avg:26479.23 mse_y:37792.27 mse_u:3342.69 mse_v:4363.63 psnr_avg:15.97 psnr_y:14.42 psnr_u:24.96 psnr_v:23.80 
n:120 mse_avg:13363.81 mse_y:18796.35 mse_u:3327.22 mse_v:1670.22 psnr_avg:18.94 psnr_y:17.46 psnr_u:24.98 psnr_v:27.97 
n:121 mse_avg:65.59 mse_y:63.88 mse_u:93.82 mse_v:44.22 psnr_avg:42.03 psnr_y:42.14 psnr_u:40.47 psnr_v:43.74 
n:122 mse_avg:16200.20 mse_y:22138.23 mse_u:5559.00 mse_v:3089.27 psnr_avg:18.10 psnr_y:16.75 psnr_u:22.75 psnr_v:25.30 
n:123 mse_avg:15803.14 mse_y:21109.18 mse_u:5409.71 mse_v:4972.44 psnr_avg:18.21 psnr_y:16.95 psnr_u:22.87 psnr_v:23.23 
n:124 mse_avg:11768.66 mse_y:15615.51 mse_u:5350.91 mse_v:2799.01 psnr_avg:19.49 psnr_y:18.26 psnr_u:22.91 psnr_v:25.73 
n:125 mse_avg:57.49 mse_y:54.79 mse_u:87.77 mse_v:38.01 psnr_avg:42.60 psnr_y:42.81 psnr_u:40.76 psnr_v:44.40 
n:126 mse_avg:11685.03 mse_y:15392.25 mse_u:5615.98 mse_v:2925.19 psnr_avg:19.52 psnr_y:18.32 psnr_u:22.70 psnr_v:25.54 
n:127 mse_avg:14089.50 mse_y:18335.90 mse_u:6351.76 mse_v:4841.61 psnr_avg:18.71 psnr_y:17.56 psnr_u:22.17 psnr_v:23.35 
n:128 mse_avg:14083.36 mse_y:18758.37 mse_u:5495.31 mse_v:3971.36 psnr_avg:18.71 psnr_y:17.47 psnr_u:22.80 psnr_v:24.21 
n:129 mse_avg:90.35 mse_y:84.71 mse_u:148.90 mse_v:54.36 psnr_avg:40.64 psnr_y:40.92 psnr_u:38.47 psnr_v:42.84 
n:130 mse_avg:9348.56 mse_y:12158.27 mse_u:4555.03 mse_v:2903.25 psnr_avg:20.49 psnr_y:19.35 psnr_u:23.61 psnr_v:25.57 
n:131 mse_avg:11658.03 mse_y:15282.63 mse_u:3867.48 mse_v:4950.15 psnr_avg:19.53 psnr_y:18.36 psnr_u:24.32 psnr_v:23.25 
n:132 mse_avg:8918.40 mse_y:11946.87 mse_u:3388.24 mse_v:2334.66 psnr_avg:20.69 psnr_y:19.42 psnr_u:24.90 psnr_v:26.52 
n:133 mse_avg:60.91 mse_y:62.84 mse_u:76.30 mse_v:37.80 psnr_avg:42.35 psnr_y:42.22 psnr_u:41.37 psnr_v:44.42 
n:134 mse_avg:8348.43 mse_y:11609.66 mse_u:1489.80 mse_v:2162.14 psnr_avg:20.98 psnr_y:19.55 psnr_u:28.47 psnr_v:26.85 
n:135 mse_avg:24803.51 mse_y:35360.15 mse_u:4051.49 mse_v:3328.94 psnr_avg:16.25 psnr_y:14.71 psnr_u:24.12 psnr_v:24.97 
n:136 mse_avg:13060.38 mse_y:17536.95 mse_u:6174.47 mse_v:2040.01 psnr_avg:19.04 psnr_y:17.76 psnr_u:22.29 psnr_v:27.10 
n:137 mse_avg:56.87 mse_y:57.54 mse_u:81.85 mse_v:29.19 psnr_avg:42.65 psnr_y:42.60 psnr_u:41.07 psnr_v:45.54 
n:138 mse_avg:20599.98 mse_y:29132.08 mse_u:4723.85 mse_v:2347.72 psnr_avg:17.06 psnr_y:15.55 psnr_u:23.45 psnr_v:26.49 
